Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1678260178,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1678260179,4,GET,perf_check,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,190.0,190.20860033318363,189.7959829998399,190.83575499962535,119.0
1678260179,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,190.0,190.20860033318363,189.7959829998399,190.83575499962535,119.0
1678260180,8,GET,perf_check,0.000000,0.000000,360,360,360,360,390,390,390,390,390,390,390,9,0,190.0,248.97630311104675,174.3888880000668,390.8057200001167,118.66666666666667
1678260180,8,,Aggregated,0.000000,0.000000,360,360,360,360,390,390,390,390,390,390,390,9,0,190.0,248.97630311104675,174.3888880000668,390.8057200001167,118.66666666666667
1678260181,12,GET,perf_check,3.000000,0.000000,98,180,200,360,390,3000,3000,3000,3000,3000,3000,20,0,120.0,296.1888186499664,38.03309300019464,3003.6113320002187,118.75
1678260181,12,,Aggregated,3.000000,0.000000,98,180,200,360,390,3000,3000,3000,3000,3000,3000,20,0,120.0,296.1888186499664,38.03309300019464,3003.6113320002187,118.75
1678260182,16,GET,perf_check,3.000000,0.000000,76,92,120,180,360,390,3000,3000,3000,3000,3000,33,0,77,200.0825978181748,35.43441100009659,3003.6113320002187,118.75757575757575
1678260182,16,,Aggregated,3.000000,0.000000,76,92,120,180,360,390,3000,3000,3000,3000,3000,33,0,77,200.0825978181748,35.43441100009659,3003.6113320002187,118.75757575757575
1678260183,20,GET,perf_check,4.500000,0.000000,50,77,92,98,360,390,3200,3200,3200,3200,3200,51,0,52,208.07088549020358,33.67004800020368,3161.016193999785,118.70588235294117
1678260183,20,,Aggregated,4.500000,0.000000,50,77,92,98,360,390,3200,3200,3200,3200,3200,51,0,52,208.07088549020358,33.67004800020368,3161.016193999785,118.70588235294117
1678260184,20,GET,perf_check,6.333333,0.000000,44,52,77,80,180,360,3000,3200,3200,3200,3200,68,0,44,166.2337580000025,32.71602499989967,3161.016193999785,118.73529411764706
1678260184,20,,Aggregated,6.333333,0.000000,44,52,77,80,180,360,3000,3200,3200,3200,3200,68,0,44,166.2337580000025,32.71602499989967,3161.016193999785,118.73529411764706
1678260185,20,GET,perf_check,8.250000,0.000000,47,74,80,95,170,360,3000,3200,3200,3200,3200,85,0,48,182.2137075882304,32.71602499989967,3161.016193999785,118.75294117647059
1678260185,20,,Aggregated,8.250000,0.000000,47,74,80,95,170,360,3000,3200,3200,3200,3200,85,0,48,182.2137075882304,32.71602499989967,3161.016193999785,118.75294117647059
1678260186,20,GET,perf_check,10.200000,0.000000,45,53,78,93,180,2100,3100,3200,3200,3200,3200,102,0,46,208.75939454901314,32.71602499989967,3161.016193999785,118.7843137254902
1678260186,20,,Aggregated,10.200000,0.000000,45,53,78,93,180,2100,3100,3200,3200,3200,3200,102,0,46,208.75939454901314,32.71602499989967,3161.016193999785,118.7843137254902
1678260187,20,GET,perf_check,11.333333,0.000000,45,50,75,79,120,390,3000,3100,3200,3200,3200,119,0,45,185.00600746217572,30.99481100025514,3161.016193999785,118.78151260504201
1678260187,20,,Aggregated,11.333333,0.000000,45,50,75,79,120,390,3000,3100,3200,3200,3200,119,0,45,185.00600746217572,30.99481100025514,3161.016193999785,118.78151260504201
1678260188,20,GET,perf_check,12.142857,0.000000,44,50,68,78,120,1700,3100,3100,3200,3200,3200,137,0,45,201.37510731386425,30.99481100025514,3161.016193999785,118.78832116788321
1678260188,20,,Aggregated,12.142857,0.000000,44,50,68,78,120,1700,3100,3100,3200,3200,3200,137,0,45,201.37510731386425,30.99481100025514,3161.016193999785,118.78832116788321
